Category,Family,Genus,Species,Common Name,Native,Frequency,Source,Newsletter
Bird,Cacatuidae,Cacatua,sanguinea,Little Corella,Yes,Common,Group,
Bird,Cacatuidae,Cacatua,tenuirostris,Long-billed Corella,Yes,Common,Group,
Bird,Cacatuidae,Cacatua,galerita,Sulphur-crested Cockatoo,Yes,Common,Group,
Bird,Cuculidae,Cacomantis,flabelliformis,Fan-tailed Cuckoo,Yes,Rare,Group,
Bird,Cuculidae,Cacomantis,pallidus,Pallid Cuckoo,Yes,Rare,Group,
Bird,Cacatuidae,Callocephalon,fimbriatum,Gang-gang Cockatoo,Yes,Common,Group,
Bird,Cacatuidae,Calyptorhynchus,funereus,Yellow-tailed Black-Cockatoo,Yes,Common,Group,
Bird,Fringillidae,Carduelis,carduelis,European Goldfinch,No,Rare,Group,
Bird,Cuculidae,Chalcites,basalis,Horsfields Bronze-Cuckoo,Yes,Rare,Group,
Bird,Cuculidae,Chalcites,lucidus,Shining Bronze-Cuckoo,Yes,Rare,Group,
Bird,Anatidae,Chenonetta,jubata,Australian Wood Duck,Yes,Common,Group,
Bird,Anatidae,Chthonicola,sagittata,Speckled Warbler,Yes,Uncommon,Group,
Bird,Acanthizidae,Cincloramphus,mathewsi,Rufous Songlark,Yes,Rare,Group,
Bird,Cisticolidae,Cisticola,exilis,Golden-headed Cisticola,Yes,Rare,Group,
Bird,Pachycephalidae,Colluricincla,harmonica,Grey Shrike-thrush,Yes,Common,Group,
Bird,Campephagidae,Coracina,novaehollandiae,Black-faced Cuckoo-shrike,Yes,Common,Group,
Bird,Corcoracidae,Corcorax,melanorhamphos,White-winged Chough,Yes,Common,Group,
Bird,Climacteridae,Cormobates,leucophaea,White-throated Treecreeper,Yes,Uncommon,Group,
Bird,Corvidae,Corvus,coronoides,Australian Raven,Yes,Common,Group,"<a href=""news/Jan09.pdf"">January 2009</a>"
Bird,Corvidae,Corvus,mellori,Little Raven,Yes,Common,Group,
Bird,Phasianidae,Coturnix,ypsilophora,Brown Quail,Yes,Common,Group,
Bird,Phasianidae,Coturnix,pectoralis,Stubble Quail,Yes,Rare,Group,
Bird,Artamidae,Cracticus,tibicen,Australian Magpie,Yes,Common,Group,
Bird,Artamidae,Cracticus,torquatus,Grey Butcherbird,Yes,Common,Group,
Bird,Alcedinidae,Dacelo,novaeguineae,Laughing Kookaburra,Yes,Common,Group,
Bird,Neosittidae,Daphoenositta,chrysoptera,Varied Sittella,Yes,Uncommon,Group,
Bird,Dicaeidae,Dicaeum,hirundinaceum,Mistletoebird,Yes,Uncommon,Group,
Bird,Ardeidae,Egretta,novaehollandiae,White-faced Heron,Yes,Common,Group,
Bird,Accipitridae,Elanus,axillaris,Black-shouldered Kite,Yes,Rare,Group,
Bird,Cacatuidae,Eolophus,roseicapillus,Galah,Yes,Common,Group,
Bird,Coraciidae,Eurystomus,orientalis,Dollarbird,Yes,Rare,Group,
Bird,Falconidae,Falco,longipennis,Australian Hobby,Yes,Common,Group,
Bird,Falconidae,Falco,berigora,Brown Falcon,Yes,Common,Group,
Bird,Falconidae,Falco,cenchroides,Nankeen Kestrel,Yes,Common,Group,
Bird,Falconidae,Falco,peregrinus,Peregrine Falcon,Yes,Common,Group,
Bird,Columbidae,Geopelia,striata,Peaceful Dove,Yes,Uncommon,Group,
Bird,Acanthizidae,Gerygone,olivacea,White-throated Gerygone,Yes,Uncommon,Group,
Bird,Monarchidae,Grallina,cyanoleuca,Magpie-lark,Yes,Common,Group,
Bird,Accipitridae,Hieraaetus,morphnoides,Little Eagle,Yes,Uncommon,Group,
Bird,Apodidae,Hirundapus,caudacutus,White-throated Needletail,Yes,Uncommon,Group,
Bird,Hirundinidae,Hirundo,neoxena,Welcome Swallow,Yes,Common,Group,
Bird,Campephagidae,Lalage,tricolor,White-winged Triller,Yes,Rare,Group,
Bird,Meliphagidae,Lichenostomus,fuscus,Fuscous Honeyeater,Yes,Common,Group,
Bird,Meliphagidae,Lichenostomus,leucotis,White-eared Honeyeater,Yes,Common,Group,
Bird,Meliphagidae,Lichenostomus,penicillatus,White-plumed Honeyeater,Yes,Rare,Group,
Bird,Meliphagidae,Lichenostomus,chrysops,Yellow-faced Honeyeater,Yes,Common,Group,
Bird,Maluridae,Malurus,cyaneus,Superb Fairy-wren,Yes,Common,Group,
Bird,Meliphagidae,Manorina,melanocephala,Noisy Miner,Yes,Rare,Group,"<a href=""news/Dec12.pdf"">December 2012</a>"
Bird,Meliphagidae,Melithreptus,brevirostris,Brown-headed Honeyeater,Yes,Common,Group,
Bird,Meliphagidae,Melithreptus,lunatus,White-naped Honeyeater,Yes,Rare,Group,
Bird,Meropidae,Merops,ornatus,Rainbow Bee-eater,Yes,Rare,Group,
Bird,Phalacrocoracidae,Microcarbo,melanoleucos,Little Pied Cormorant,Yes,Common,Group,
Bird,Monarchidae,Myiagra,rubecula,Leaden Flycatcher,Yes,Uncommon,Group,
Bird,Monarchidae,Myiagra,inquieta,Restless Flycatcher,Yes,Rare,Group,
Bird,Monarchidae,Myiagra,cyanoleuca,Satin Flycatcher,Yes,Uncommon,Group,
Bird,Estrildidae,Neochmia,temporalis,Red-browed Finch,Yes,Uncommon,Group,
Bird,Strigidae,Ninox,novaeseelandiae,Southern Boobook,Yes,Rare,Group,
Bird,Ardeidae,Nycticorax,caledonicus,Nankeen Night-Heron,Yes,Uncommon,Group,
Bird,Columbidae,Ocyphaps,lophotes,Crested Pigeon,Yes,Common,Group,
Bird,Oriolidae,Oriolus,sagittatus,Olive-backed Oriole,Yes,Common,Group,
Bird,Oriolidae,Pachycephala,pectoralis,Golden Whistler,Yes,Common,Group,
Bird,Pachycephalidae,Pachycephala,rufiventris,Rufous Whistler,Yes,Common,Group,
Bird,Pardalotidae,Pardalotus,punctatus,Spotted Pardalote,Yes,Common,Group,
Bird,Pardalotidae,Pardalotus,striatus,Striated Pardalote,Yes,Common,Group,
Bird,Passeridae,Passer,domesticus,House Sparrow,No,Common,Group,
Bird,Hirundinidae,Petrochelidon,nigricans,Tree Martin,Yes,Rare,Group,
Bird,Petroicidae,Petroica,phoenicea,Flame Robin,Yes,Rare,Group,
Bird,Petroicidae,Petroica,goodenovii,Red-capped Robin,Yes,Uncommon,Group,
Bird,Petroicidae,Petroica,rosea,Rose Robin,Yes,Uncommon,Group,
Bird,Petroicidae,Petroica,multicolor,Scarlet Robin,Yes,Common,Group,
Bird,Columbidae,Phaps,chalcoptera,Common Bronzewing,Yes,Rare,Group,"<a href=""news/Jul10.pdf"">July 2010</a>"
Bird,Meliphagidae,Philemon,corniculatus,Noisy Friarbird,Yes,Common,Group,
Bird,Meliphagidae,Phylidonyris,pyrrhopterus,Crescent Honeyeater,Yes,Common,Group,
Bird,Meliphagidae,Phylidonyris,novaehollandiae,New Holland Honeyeater,Yes,Uncommon,Group,
Bird,Psittaculidae,Platycercus,elegans,Crimson Rosella,Yes,Common,Group,
Bird,Psittaculidae,Platycercus,eximius,Eastern Rosella,Yes,Common,Group,
Bird,Podargidae,Podargus,strigoides,Tawny Frogmouth,Yes,Common,Group,
Bird,Psittaculidae,Psephotus,haematonotus,Red-rumped Parrot,Yes,Common,Group,
Bird,Ptilonorhynchidae,Ptilonorhynchus,violaceus,Satin Bowerbird,Yes,Common,Group,
Bird,Rhipiduridae,Rhipidura,fuliginosa,Grey Fantail,Yes,Common,Group,
Bird,Rhipiduridae,Rhipidura,leucophrys,Willie Wagtail,Yes,Common,Group,
Bird,Acanthizidae,Sericornis,frontalis,White-browed Scrubwren,Yes,Common,Group,
Bird,Acanthizidae,Smicrornis,brevirostris,Weebill,Yes,Common,Group,
Bird,Estrildidae,Stagonopleura,guttata,Diamond Firetail,Yes,Uncommon,Group,
Bird,Artamidae,Strepera,graculina,Pied Currawong,Yes,Common,Group,
Bird,Sturnidae,Sturnus,tristis,Common Myna,No,Common,Group,
Bird,Sturnidae,Sturnus,vulgaris,Common Starling,No,Common,Group,
Bird,Podicipedidae,Tachybaptus,novaehollandiae,Australasian Grebe,Yes,Common,Group,"<a href=""news/Jun13.pdf"">June 2013</a>"
Bird,Estrildidae,Taeniopygia,bichenovii,Double-barred Finch,Yes,Uncommon,Group,"<a href=""news/Jun12.pdf"">June 2012</a>"
Bird,Threskiornithidae,Threskiornis,spinicollis,Straw-necked Ibis,Yes,Common,Group,
Bird,Alcedinidae,Todiramphus,sanctus,Sacred Kingfisher,Yes,Common,Group,
Bird,Psittaculidae,Trichoglossus,haematodus,Rainbow Lorikeet,Yes,Common,Group,
Bird,Turdidae,Turdus,merula,Common Blackbird,No,Common,Group,
Bird,Turnicidae,Turnix,varius,Painted Button-quail,Yes,Uncommon,Group,
Bird,Charadriidae,Vanellus,miles,Masked Lapwing,Yes,Common,Group,
Bird,Zosteropidae,Zosterops,lateralis,Silvereye,Yes,Common,Group,
Snake,Typhlopidae,Ramphotyphlops,nigrescens,Blackish Blind Snake,Yes,Unknown,CNM,
Skink,Scincidae,Lampropholis,delicata,Delicate Skink ,Yes,Unknown,CNM,
Skink,Scincidae,Morethia,boulengeri,Boulenger's Skink ,Yes,Unknown,CNM,
Legless Lizard,Pygopodidae,Delma,inornata,Olive Legless-lizard ,Yes,Unknown,CNM,
Frog,Myobatrachidae,Crinia,parinsignifera,Plains Froglet ,Yes,Unknown,CNM,
Frog,Myobatrachidae,Crinia,signifera,Common Eastern Froglet ,Yes,Unknown,CNM,
Frog,Myobatrachidae,Limnodynastes,peronii,Brown-striped Frog ,Yes,Unknown,CNM,
Frog,Myobatrachidae,Limnodynastes,tasmaniensis,Spotted Grass Frog ,Yes,Unknown,CNM,
Frog,Myobatrachidae,Litoria,peronii,Peron's Tree-frog ,Yes,Unknown,CNM,
Frog,Myobatrachidae,Litoria,verreauxii,Whistling Tree-frog ,Yes,Unknown,CNM,
Frog,Myobatrachidae,Neobatrachus,sudelli,Spotted Burrowing Frog ,Yes,Unknown,CNM,
Frog,Myobatrachidae,Uperoleia,laevigata,Smooth Toadlet ,Yes,Unknown,CNM,
Raptor,Accipitridae,Circus,assimilis,Spotted Harrier ,Yes,Unknown,CNM,
Raptor,Accipitridae,Haliastur,sphenurus,Whistling Kite ,Yes,Unknown,CNM,
Colonial Nester,Ardeidae,Bubulcus,ibis,Cattle Egret ,Yes,Unknown,CNM,
Waterfowl,Anatidae,Cygnus,atratus,Black Swan ,Yes,Unknown,CNM,
Colonial Nester,Pelecanidae,Pelecanus,conspicillatus,Australian Pelican ,Yes,Unknown,CNM,
Waterfowl,Anatidae,Spatula,rhynchotis,Australasian Shoveler ,Yes,Unknown,CNM,
Other bird,Laridae,Chroicocephalus,novaehollandiae,Silver Gull ,Yes,Unknown,CNM,
Other bird,Rallidae,Fulica,atra,Eurasian Coot ,Yes,Unknown,CNM,
Other bird,Rallidae,Gallinula,tenebrosa,Dusky Moorhen ,Yes,Unknown,CNM,
Other bird,Rallidae,Porphyrio,porphyrio,Purple Swamphen ,Yes,Unknown,CNM,
Parrot,Cacatuidae,Cacatua,leadbeateri,Major Mitchells Cockatoo ,Yes,Unknown,CNM,
Pigeons and Doves,Columbidae,Columba,livia,Rock Dove ,No,Unknown,CNM,
Parrot,Psittaculidae,Neophema,chrysostoma,Blue-winged Parrot ,Yes,Unknown,CNM,
Parrot,Psittaculidae,Polytelis,swainsonii,Superb Parrot ,Yes,Unknown,CNM,
Pigeons and Doves,Columbidae,Streptopelia,chinensis,Spotted Dove ,No,Unknown,CNM,
Cuckoo,Cuculidae,Eudynamys,orientalis,Eastern Koel ,Yes,Unknown,CNM,
Cuckoo,Cuculidae,Scythrops,novaehollandiae,Channel-billed Cuckoo ,Yes,Unknown,CNM,
Small Birds,Estrildidae,Taeniopygia,guttata,Zebra Finch ,Yes,Unknown,CNM,
Honeyeater,Meliphagidae,Anthochaera,phrygia,Regent Honeyeater ,Yes,Unknown,CNM,
Honeyeater,Meliphagidae,Caligavis,chrysops,Yellow-faced Honeyeater ,Yes,Unknown,CNM,
Large bird,Artamidae,Strepera,versicolor,Grey Currawong ,Yes,Unknown,CNM,
Kangaroo & Wallaby,Macropodidae,Macropus,robustus,Wallaroo ,Yes,Unknown,CNM,
Kangaroo & Wallaby,Macropodidae,Wallabia,bicolor,Swamp Wallaby ,Yes,Unknown,CNM,
Rabitt & Hares,Leporidae,Lepus,capensis,Brown Hare ,No,Unknown,CNM,
Rabbits & Hares,Leporidae,Oryctolagus,cuniculus,European Rabbit ,No,Unknown,CNM,
Predator Placentals,Canidae,Canis,lupus,Dingo / Wild Dog ,Yes,Unknown,CNM,
Predator Placentals,Canidae,Vulpes,vulpes,Red Fox ,No,Unknown,CNM,
Bat,Vespertilionidae,Nyctophilus,geoffroyi,Lesser Long-eared Bat ,Yes,Unknown,CNM,
Nymphs,Nymphalidae,Charaxes,sempronius,Tailed Emperor ,Yes,Unknown,CNM,
Nymphs,Nymphalidae,Heteronympha,paradelpha,Spotted Brown ,Yes,Unknown,CNM,
Whites & Yellows,Pieridae,Belenois,java,Caper White,Yes,Unknown,CNM,
Swallowtails,Papilionidae,Papilio,anactus,Dainty Swallowtail ,Yes,Unknown,CNM,
Dragonflies,Libellulidae,Orthetrum,caledonicum,Blue Skimmer ,Yes,Unknown,CNM,
Hoppers,Cicadellidae,Eurymeloides,pulchra,Gumtree hopper ,Yes,Unknown,CNM,
Noctuid moths,Noctuidae,Apina,callisto,Pasture Day Moth ,Yes,Unknown,CNM,
Tiger Moths, Erebidae,Utetheisa,pulchelloides,Heliotrope Moth ,Yes,Unknown,CNM,
Other Bugs,Coreidae,Mictis,profana,Crusader bug ,Yes,Unknown,CNM,
Bee Flies,Bombyliidae,Villa,sp.,Unidentified Villa bee Fly,Yes,Unknown,CNM,
